-1.971649999999999903e+00,4.675169560592313887e-08
-1.971530000000000005e+00,4.675169560592313887e-08
-1.971410000000000107e+00,4.675169560592313887e-08
-1.971289999999999987e+00,4.675169560592313887e-08
-1.971170000000000089e+00,5.487034964616377862e-08
-1.971039999999999903e+00,6.299199013262116879e-08
-1.970920000000000005e+00,7.111064417286180854e-08
-1.970800000000000107e+00,7.922929821310243505e-08
-1.970679999999999987e+00,8.329011845633113013e-08
-1.970560000000000089e+00,8.735093869955982521e-08
-1.970439999999999969e+00,9.140877249657176988e-08
-1.970320000000000071e+00,9.546959273980045173e-08
-1.970190000000000108e+00,1.644859915031648363e-07
-1.970069999999999988e+00,2.335023902665291944e-07
-1.969950000000000090e+00,1.942575005321896403e-07
-1.969829999999999970e+00,1.550126107978500068e-07
-1.969710000000000072e+00,9.140877249657176988e-08
-1.969589999999999952e+00,2.780512084818206163e-08
-1.969459999999999988e+00,2.915962352978997850e-08
-1.969340000000000090e+00,3.051136374864741116e-08
-1.969219999999999970e+00,8.058402487817661151e-08
-1.969100000000000072e+00,1.306536622309113636e-07
-1.968979999999999952e+00,1.157680943692875102e-07
-1.968860000000000054e+00,1.008821532018865729e-07
-1.968730000000000091e+00,6.366767358916132664e-08
-1.968609999999999971e+00,2.645338062932462897e-08
-1.968490000000000073e+00,9.750000286141481251e-08
-1.968369999999999953e+00,1.685468117463935314e-07
-1.968250000000000055e+00,1.367448925957544063e-07
-1.968129999999999935e+00,1.049429734451152812e-07
-1.967999999999999972e+00,7.314105429447614284e-08
-1.967880000000000074e+00,4.133913514383701775e-08
-1.967759999999999954e+00,5.262864845471421372e-08
-1.967640000000000056e+00,6.392077490603107623e-08
-1.967519999999999936e+00,7.521327466312503585e-08
-1.967400000000000038e+00,8.650278797400221859e-08
-1.967270000000000074e+00,1.383941575189557542e-07
-1.967149999999999954e+00,1.902829139234696630e-07
-1.967030000000000056e+00,1.772160918078478294e-07
-1.966909999999999936e+00,1.641492696922260487e-07
-1.966790000000000038e+00,1.033769557102058874e-07
-1.966669999999999918e+00,4.260725486862539256e-08
-1.966539999999999955e+00,4.679350585295767111e-08
-1.966420000000000057e+00,5.097938353151286578e-08
-1.966299999999999937e+00,2.404193730103042155e-08
-1.966180000000000039e+00,0.000000000000000000e+00
-1.966059999999999919e+00,7.842557087501902720e-08
-1.965940000000000021e+00,1.597494878033959833e-07
-1.965810000000000057e+00,1.367030823487198740e-07
-1.965689999999999937e+00,1.136540637536041114e-07
-1.965570000000000039e+00,9.060504515848836203e-08
-1.965449999999999919e+00,6.755901300958933659e-08
-1.965330000000000021e+00,7.157503655956676226e-08
-1.965209999999999901e+00,7.559404655576092511e-08
-1.965079999999999938e+00,1.878713586034423159e-07
-1.964960000000000040e+00,3.001516570973404173e-07
-1.964839999999999920e+00,2.608649571159663310e-07
-1.964720000000000022e+00,2.215786304403692889e-07
-1.964599999999999902e+00,1.822893173185554964e-07
-1.964480000000000004e+00,1.430029906429584542e-07
-1.964350000000000041e+00,1.835604234895606216e-07
-1.964229999999999920e+00,2.241152431957231092e-07
-1.964110000000000023e+00,1.997144843817499337e-07
-1.963989999999999903e+00,1.753137255677767318e-07
-1.963870000000000005e+00,8.620787641009795000e-08
-1.963750000000000107e+00,0.000000000000000000e+00
-1.963619999999999921e+00,5.956541640467520305e-08
-1.963500000000000023e+00,1.220258191107145008e-07
-1.963379999999999903e+00,1.073515423189258647e-07
-1.963260000000000005e+00,9.267726552713722857e-08
-1.963140000000000107e+00,7.800298873534859248e-08
-1.963019999999999987e+00,6.332833863778287251e-08
-1.962900000000000089e+00,1.217312808525873160e-07
-1.962769999999999904e+00,1.801338497616146757e-07
-1.962650000000000006e+00,1.735782270100666661e-07
-1.962530000000000108e+00,1.670226042585186830e-07
-1.962409999999999988e+00,1.631760615313419557e-07
-1.962290000000000090e+00,1.593265323579484515e-07
-1.962169999999999970e+00,1.554799896307717242e-07
-1.962040000000000006e+00,1.516304604573782465e-07
-1.961920000000000108e+00,9.293297998444663147e-08
-1.961799999999999988e+00,3.423277437934222342e-08
-1.961680000000000090e+00,4.049359755871907766e-08
-1.961559999999999970e+00,4.675169560592313887e-08
-1.961440000000000072e+00,7.601700200120844371e-08
-1.961310000000000109e+00,1.052793219502769849e-07
-1.961189999999999989e+00,1.345446283455622765e-07
-1.961070000000000091e+00,1.638099347408475813e-07
-1.960949999999999971e+00,1.277777145241790760e-07
-1.960830000000000073e+00,9.174810744795022401e-08
-1.960709999999999953e+00,5.571588723128171871e-08
-1.960579999999999989e+00,1.968635481620829540e-08
-1.960460000000000091e+00,1.040974358599973411e-07
-1.960339999999999971e+00,1.885085915649417890e-07
-1.960220000000000073e+00,1.646554723259655214e-07
-1.960099999999999953e+00,1.408027263927663509e-07
-1.959980000000000055e+00,1.418181181064620733e-07
-1.959850000000000092e+00,1.428331365143806985e-07
-1.959729999999999972e+00,1.438485282280763943e-07
-1.959610000000000074e+00,1.448635466359950460e-07
-1.959489999999999954e+00,1.025732283721224663e-07
-1.959370000000000056e+00,6.028291010824989975e-08
-1.959249999999999936e+00,8.295078350495267600e-08
-1.959119999999999973e+00,1.056186569016554390e-07
-1.959000000000000075e+00,5.385533123824514679e-08
-1.958879999999999955e+00,2.094353668172780693e-09
-1.958760000000000057e+00,0.000000000000000000e+00
-1.958639999999999937e+00,0.000000000000000000e+00
-1.958520000000000039e+00,0.000000000000000000e+00
-1.958390000000000075e+00,0.000000000000000000e+00
-1.958269999999999955e+00,0.000000000000000000e+00
-1.958150000000000057e+00,0.000000000000000000e+00
-1.958029999999999937e+00,1.735838265967230500e-08
-1.957910000000000039e+00,4.548320257535768019e-08
-1.957789999999999919e+00,7.360544668118109657e-08
-1.957659999999999956e+00,1.017276907870045129e-07
-1.957540000000000058e+00,1.907473063101746035e-07
-1.957419999999999938e+00,2.797699082795614312e-07
-1.957300000000000040e+00,2.605256221645878901e-07
-1.957179999999999920e+00,2.412843224958310730e-07
-1.957060000000000022e+00,2.102028834949833619e-07
-1.956930000000000058e+00,1.791184580479189534e-07
-1.956809999999999938e+00,1.480344059066316155e-07
-1.956690000000000040e+00,1.169525936000068338e-07
